MName,Director,ReleaseDate,IsAnimated,Revenue
X-Men,"Bryan Singer",2000-07-14,FALSE,296300000
"X-Men: The Last Stand","Brett Ratner",2006-05-26,FALSE,459300000
"X-Men Origins: Wolverine","Gavin Hood",2009-05-01,FALSE,373000000
"X-Men: First Class","Matthew Vaughn",2011-06-03,FALSE,353600000
"X-Men: Days of Future Past","Bryan Singer",2013-05-23,FALSE,748100000
"The Avengers","Joss Whedon",2012-05-04,FALSE,1519000000
"Spider-Man 2","Sam Raimi",2004-06-30,FALSE,783800000
"The Dark Knight Rises","Christopher Nolan",2012-07-20,FALSE,1084000000
